from_pin.full_name,to_pin.full_name,sense,delay_max_rise,delay_max_fall,variation_delay_max_rise.mean,variation_delay_max_rise.std_dev,variation_delay_max_fall.mean,variation_delay_max_fall.std_dev
i0/A,i0/Y,negative_unate,514.264832,473.755981,514.264832,UNINIT,473.755981,UNINIT
i1/A,i1/Y,negative_unate,8.816273,7.503047,8.816273,UNINIT,7.503047,UNINIT
i10/A,i10/Y,negative_unate,19.864439,18.678082,19.864439,UNINIT,18.678082,UNINIT
i1000/A,i1000/Y,negative_unate,12.169192,8.844029,12.169192,UNINIT,8.844029,UNINIT
i1000/B,i1000/Y,negative_unate,21.704763,8.379668,21.704763,UNINIT,8.379668,UNINIT
i1001/A,i1001/Y,negative_unate,11.558363,8.427676,11.558363,UNINIT,8.427676,UNINIT
i1001/B,i1001/Y,negative_unate,13.794452,8.056317,13.794452,UNINIT,8.056317,UNINIT
i1002/A,i1002/Y,negative_unate,12.643306,9.125985,12.643306,UNINIT,9.125985,UNINIT
i1002/B,i1002/Y,negative_unate,22.141216,8.632233,22.141216,UNINIT,8.632233,UNINIT
i1003/A,i1003/Y,negative_unate,14.530194,10.736171,14.530194,UNINIT,10.736171,UNINIT
i1003/B,i1003/Y,negative_unate,26.513351,10.714968,26.513351,UNINIT,10.714968,UNINIT
i1004/A,i1004/Y,negative_unate,12.001844,8.492889,12.001844,UNINIT,8.492889,UNINIT
i1004/B,i1004/Y,negative_unate,15.261868,8.101739,15.261868,UNINIT,8.101739,UNINIT
i1005/A,i1005/Y,negative_unate,11.453666,8.313721,11.453666,UNINIT,8.313721,UNINIT
i1005/B,i1005/Y,negative_unate,22.020956,7.432689,22.020956,UNINIT,7.432689,UNINIT
i1006/A,i1006/Y,negative_unate,14.320627,10.656345,14.320627,UNINIT,10.656345,UNINIT
i1006/B,i1006/Y,negative_unate,20.7631,11.00444,20.7631,UNINIT,11.00444,UNINIT
i1007/A,i1007/Y,negative_unate,12.63917,8.939723,12.63917,UNINIT,8.939723,UNINIT
i1007/B,i1007/Y,negative_unate,24.47967,7.308837,24.47967,UNINIT,7.308837,UNINIT
i1008/A,i1008/Y,negative_unate,16.35034,11.958968,16.35034,UNINIT,11.958968,UNINIT
i1008/B,i1008/Y,negative_unate,27.572792,11.997293,27.572792,UNINIT,11.997293,UNINIT
i1009/A,i1009/Y,negative_unate,12.312551,9.037289,12.312551,UNINIT,9.037289,UNINIT
i1009/B,i1009/Y,negative_unate,27.057652,7.521228,27.057652,UNINIT,7.521228,UNINIT
i1010/A,i1010/Y,negative_unate,16.150597,11.634665,16.150597,UNINIT,11.634665,UNINIT
i1010/B,i1010/Y,negative_unate,26.770193,11.323112,26.770193,UNINIT,11.323112,UNINIT
i1011/A,i1011/Y,negative_unate,11.723216,8.400397,11.723216,UNINIT,8.400397,UNINIT
i1011/B,i1011/Y,negative_unate,19.551359,7.799729,19.551359,UNINIT,7.799729,UNINIT
i1012/A,i1012/Y,negative_unate,11.394785,8.266076,11.394785,UNINIT,8.266076,UNINIT
i1012/B,i1012/Y,negative_unate,21.791681,7.395133,21.791681,UNINIT,7.395133,UNINIT
i1013/A,i1013/Y,negative_unate,12.239907,8.965449,12.239907,UNINIT,8.965449,UNINIT
i1013/B,i1013/Y,negative_unate,28.737488,6.878528,28.737488,UNINIT,6.878528,UNINIT
i1014/A,i1014/Y,negative_unate,12.052168,8.598806,12.052168,UNINIT,8.598806,UNINIT
i1014/B,i1014/Y,negative_unate,18.237663,8.160795,18.237663,UNINIT,8.160795,UNINIT
i1015/A,i1015/Y,negative_unate,12.062478,8.652171,12.062478,UNINIT,8.652171,UNINIT
i1015/B,i1015/Y,negative_unate,20.178501,8.105891,20.178501,UNINIT,8.105891,UNINIT
i1016/A,i1016/Y,negative_unate,12.018539,8.585722,12.018539,UNINIT,8.585722,UNINIT
i1016/B,i1016/Y,negative_unate,19.153641,8.065282,19.153641,UNINIT,8.065282,UNINIT
i1017/A,i1017/Y,negative_unate,12.568451,8.705019,12.568451,UNINIT,8.705019,UNINIT
i1017/B,i1017/Y,negative_unate,14.491404,8.128815,14.491404,UNINIT,8.128815,UNINIT
i1018/A,i1018/Y,negative_unate,12.106173,8.894427,12.106173,UNINIT,8.894427,UNINIT
i1018/B,i1018/Y,negative_unate,23.548889,8.216323,23.548889,UNINIT,8.216323,UNINIT
i1019/A,i1019/Y,negative_unate,11.45338,8.342395,11.45338,UNINIT,8.342395,UNINIT
i1019/B,i1019/Y,negative_unate,21.195436,7.710884,21.195436,UNINIT,7.710884,UNINIT
i1020/A,i1020/Y,negative_unate,11.76574,8.385016,11.76574,UNINIT,8.385016,UNINIT
i1020/B,i1020/Y,negative_unate,21.245258,7.552844,21.245258,UNINIT,7.552844,UNINIT
i1021/A,i1021/Y,negative_unate,14.739638,8.890623,14.739638,UNINIT,8.890623,UNINIT
i1021/B,i1021/Y,negative_unate,12.92349,7.796836,12.92349,UNINIT,7.796836,UNINIT
i1022/A,i1022/Y,negative_unate,11.53033,8.326734,11.53033,UNINIT,8.326734,UNINIT
i1022/B,i1022/Y,negative_unate,16.905291,8.102716,16.905291,UNINIT,8.102716,UNINIT
i1023/A,i1023/Y,negative_unate,11.544846,8.31371,11.544846,UNINIT,8.31371,UNINIT
i1023/B,i1023/Y,negative_unate,22.097254,7.257456,22.097254,UNINIT,7.257456,UNINIT
i1024/A,i1024/Y,negative_unate,11.185892,8.173007,11.185892,UNINIT,8.173007,UNINIT
i1024/B,i1024/Y,negative_unate,21.746227,7.303583,21.746227,UNINIT,7.303583,UNINIT
i1025/A,i1025/Y,negative_unate,15.639923,9.646575,15.639923,UNINIT,9.646575,UNINIT
i1025/B,i1025/Y,negative_unate,14.312177,8.522316,14.312177,UNINIT,8.522316,UNINIT
i1026/A,i1026/Y,negative_unate,11.337853,8.248189,11.337853,UNINIT,8.248189,UNINIT
i1026/B,i1026/Y,negative_unate,20.386011,7.642961,20.386011,UNINIT,7.642961,UNINIT
i1027/A,i1027/Y,negative_unate,11.927432,8.393539,11.927432,UNINIT,8.393539,UNINIT
i1027/B,i1027/Y,negative_unate,14.534464,7.945887,14.534464,UNINIT,7.945887,UNINIT
i1028/A,i1028/Y,negative_unate,11.475471,8.304997,11.475471,UNINIT,8.304997,UNINIT
i1028/B,i1028/Y,negative_unate,14.707218,8.007001,14.707218,UNINIT,8.007001,UNINIT
i1029/A,i1029/Y,negative_unate,15.705815,9.424247,15.705815,UNINIT,9.424247,UNINIT
i1029/B,i1029/Y,negative_unate,14.713536,8.375923,14.713536,UNINIT,8.375923,UNINIT
i1030/A,i1030/Y,negative_unate,11.425601,8.303746,11.425601,UNINIT,8.303746,UNINIT
i1030/B,i1030/Y,negative_unate,24.897261,6.519107,24.897261,UNINIT,6.519107,UNINIT
i1031/A,i1031/Y,negative_unate,14.053038,9.058086,14.053038,UNINIT,9.058086,UNINIT
i1031/B,i1031/Y,negative_unate,14.566545,8.134971,14.566545,UNINIT,8.134971,UNINIT
i1032/A,i1032/Y,negative_unate,12.616635,8.681947,12.616635,UNINIT,8.681947,UNINIT
i1032/B,i1032/Y,negative_unate,13.897518,8.025103,13.897518,UNINIT,8.025103,UNINIT
i1033/A,i1033/Y,negative_unate,15.461697,9.204423,15.461697,UNINIT,9.204423,UNINIT
i1033/B,i1033/Y,negative_unate,13.393214,8.058225,13.393214,UNINIT,8.058225,UNINIT
i1034/A,i1034/Y,negative_unate,16.718027,12.564034,16.718027,UNINIT,12.564034,UNINIT
i1034/B,i1034/Y,negative_unate,18.058651,12.262191,18.058651,UNINIT,12.262191,UNINIT
i1035/A,i1035/Y,negative_unate,12.456587,8.577146,12.456587,UNINIT,8.577146,UNINIT
i1035/B,i1035/Y,negative_unate,13.342285,7.837877,13.342285,UNINIT,7.837877,UNINIT
i1036/A,i1036/Y,negative_unate,11.811748,8.542225,11.811748,UNINIT,8.542225,UNINIT
i1036/B,i1036/Y,negative_unate,20.003405,8.043818,20.003405,UNINIT,8.043818,UNINIT
i1037/A,i1037/Y,negative_unate,12.691823,9.326345,12.691823,UNINIT,9.326345,UNINIT
i1037/B,i1037/Y,negative_unate,14.806948,8.985989,14.806948,UNINIT,8.985989,UNINIT
i1038/A,i1038/Y,negative_unate,14.264365,9.899302,14.264365,UNINIT,9.899302,UNINIT
i1038/B,i1038/Y,negative_unate,20.340393,9.203657,20.340393,UNINIT,9.203657,UNINIT
i1039/A,i1039/Y,negative_unate,12.04371,8.824546,12.04371,UNINIT,8.824546,UNINIT
i1039/B,i1039/Y,negative_unate,15.281637,8.633858,15.281637,UNINIT,8.633858,UNINIT
