ep_name,ep_max_rise_slack,ep_max_fall_slack,ep_max_rise_arrival,ep_max_fall_arrival,sp_name,launch_clock_latency,clock_latency_mean,clock_latency_std,path_required,path_arrival,path_slack,path_num_points,path_crpr,ep_ck_name,rise_fall
i100/D,0.162670,0.155587,0.062982,0.070674,i43/i176/CLK,0.000000,0.000000,0.000000,0.225651,0.062982,0.162670,4,0.0,i100/CLK,rise
i100/D,0.162670,0.155587,0.062982,0.070674,i43/i176/CLK,0.000000,0.000000,0.000000,0.226261,0.070674,0.155587,4,0.0,i100/CLK,fall
i100/SE,0.018563,-0.017018,0.203170,0.191864,i1550/CLK,0.000000,0.000000,0.000000,0.221734,0.203170,0.018563,4,0.0,i100/CLK,rise
i100/SE,0.018563,-0.017018,0.203170,0.191864,i1550/CLK,0.000000,0.000000,0.000000,0.174846,0.191864,-0.017018,4,0.0,i100/CLK,fall
i100/SI,-0.098646,-0.097204,0.331850,0.328124,i184/CLK,0.000000,0.000000,0.000000,0.233204,0.331850,-0.098646,30,0.0,i100/CLK,rise
i100/SI,-0.098646,-0.097204,0.331850,0.328124,i184/CLK,0.000000,0.000000,0.000000,0.230920,0.328124,-0.097204,30,0.0,i100/CLK,fall
i101/D,0.163475,0.156009,0.061966,0.069767,i43/i177/CLK,0.000000,0.000000,0.000000,0.225440,0.061966,0.163475,4,0.0,i101/CLK,rise
i101/D,0.163475,0.156009,0.061966,0.069767,i43/i177/CLK,0.000000,0.000000,0.000000,0.225776,0.069767,0.156009,4,0.0,i101/CLK,fall
i101/SE,0.017513,-0.018247,0.204195,0.192861,i1550/CLK,0.000000,0.000000,0.000000,0.221708,0.204195,0.017513,4,0.0,i101/CLK,rise
i101/SE,0.017513,-0.018247,0.204195,0.192861,i1550/CLK,0.000000,0.000000,0.000000,0.174615,0.192861,-0.018247,4,0.0,i101/CLK,fall
i101/SI,-0.072956,-0.065368,0.304366,0.297784,i1321/CLK,0.000000,0.000000,0.000000,0.231411,0.304366,-0.072956,32,0.0,i101/CLK,rise
