sp_name, launch_clock_latency, clock_latency_mean, clock_latency_std
i100/CLK,0,0,0
i101/CLK,0,0,0
i102/CLK,0,0,0
i103/CLK,0,0,0
i104/CLK,0,0,0
i105/CLK,0,0,0
i106/CLK,0,0,0
i107/CLK,0,0,0
i108/CLK,0,0,0
i109/CLK,0,0,0
i110/CLK,0,0,0
i111/CLK,0,0,0
i112/CLK,0,0,0
i113/CLK,0,0,0
i114/CLK,0,0,0
i115/CLK,0,0,0
i116/CLK,0,0,0
i117/CLK,0,0,0
i118/CLK,0,0,0
i119/CLK,0,0,0
i120/CLK,0,0,0
i121/CLK,0,0,0
i122/CLK,0,0,0
i123/CLK,0,0,0
i124/CLK,0,0,0
i125/CLK,0,0,0
i126/CLK,0,0,0
i127/CLK,0,0,0
i128/CLK,0,0,0
i129/CLK,0,0,0
i130/CLK,0,0,0
i131/CLK,0,0,0
i132/CLK,0,0,0
i1320/CLK,0,0,0
i1321/CLK,0,0,0
i1322/CLK,0,0,0
i1323/CLK,0,0,0
i1324/CLK,0,0,0
i1325/CLK,0,0,0
i1326/CLK,0,0,0
i1327/CLK,0,0,0
i1328/CLK,0,0,0
i1329/CLK,0,0,0
i133/CLK,0,0,0
i1330/CLK,0,0,0
i1331/CLK,0,0,0
i1332/CLK,0,0,0
i1333/CLK,0,0,0
i1334/CLK,0,0,0
i1335/CLK,0,0,0
i1336/CLK,0,0,0
i1337/CLK,0,0,0
i1338/CLK,0,0,0
i1339/CLK,0,0,0
i134/CLK,0,0,0
i1340/CLK,0,0,0
i1341/CLK,0,0,0
i1342/CLK,0,0,0
i1343/CLK,0,0,0
i1344/CLK,0,0,0
i1345/CLK,0,0,0
i1346/CLK,0,0,0
i1347/CLK,0,0,0
i1348/CLK,0,0,0
i1349/CLK,0,0,0
i135/CLK,0,0,0
i1350/CLK,0,0,0
i1351/CLK,0,0,0
i1352/CLK,0,0,0
i1353/CLK,0,0,0
i1354/CLK,0,0,0
i1355/CLK,0,0,0
i1356/CLK,0,0,0
i1357/CLK,0,0,0
i1358/CLK,0,0,0
i1359/CLK,0,0,0
i136/CLK,0,0,0
i1360/CLK,0,0,0
i1361/CLK,0,0,0
i1362/CLK,0,0,0
i1363/CLK,0,0,0
i1364/CLK,0,0,0
i1365/CLK,0,0,0
i1366/CLK,0,0,0
i1367/CLK,0,0,0
i1368/CLK,0,0,0
i1369/CLK,0,0,0
i137/CLK,0,0,0
i1370/CLK,0,0,0
i1371/CLK,0,0,0
i1372/CLK,0,0,0
i1373/CLK,0,0,0
i1374/CLK,0,0,0
i1375/CLK,0,0,0
i1376/CLK,0,0,0
i1377/CLK,0,0,0
i1378/CLK,0,0,0
i1379/CLK,0,0,0
i138/CLK,0,0,0
i1380/CLK,0,0,0
i1381/CLK,0,0,0
i1382/CLK,0,0,0
i1383/CLK,0,0,0
i1384/CLK,0,0,0
i1385/CLK,0,0,0
i1386/CLK,0,0,0
i1387/CLK,0,0,0
i1388/CLK,0,0,0
i1389/CLK,0,0,0
i139/CLK,0,0,0
i1390/CLK,0,0,0
i1391/CLK,0,0,0
i1392/CLK,0,0,0
i1393/CLK,0,0,0
i1394/CLK,0,0,0
i1395/CLK,0,0,0
i1396/CLK,0,0,0
i1397/CLK,0,0,0
i1398/CLK,0,0,0
i1399/CLK,0,0,0
i140/CLK,0,0,0
i1400/CLK,0,0,0
i1401/CLK,0,0,0
i1402/CLK,0,0,0
i1403/CLK,0,0,0
i1404/CLK,0,0,0
i1405/CLK,0,0,0
i1406/CLK,0,0,0
i1407/CLK,0,0,0
i1408/CLK,0,0,0
i1409/CLK,0,0,0
i141/CLK,0,0,0
i1410/CLK,0,0,0
i1411/CLK,0,0,0
i1412/CLK,0,0,0
i1413/CLK,0,0,0
i1414/CLK,0,0,0
i1415/CLK,0,0,0
i1416/CLK,0,0,0
i1417/CLK,0,0,0
i1418/CLK,0,0,0
i1419/CLK,0,0,0
i142/CLK,0,0,0
i1420/CLK,0,0,0
i1421/CLK,0,0,0
i1422/CLK,0,0,0
i1423/CLK,0,0,0
i1424/CLK,0,0,0
i1425/CLK,0,0,0
i1426/CLK,0,0,0
i1427/CLK,0,0,0
i1428/CLK,0,0,0
i1429/CLK,0,0,0
i143/CLK,0,0,0
i1430/CLK,0,0,0
i1431/CLK,0,0,0
i1432/CLK,0,0,0
i1433/CLK,0,0,0
i1434/CLK,0,0,0
i1435/CLK,0,0,0
i1436/CLK,0,0,0
i1437/CLK,0,0,0
i1438/CLK,0,0,0
i1439/CLK,0,0,0
i144/CLK,0,0,0
i1440/CLK,0,0,0
i1441/CLK,0,0,0
i1442/CLK,0,0,0
i1443/CLK,0,0,0
i1444/CLK,0,0,0
i1445/CLK,0,0,0
i1446/CLK,0,0,0
i1447/CLK,0,0,0
i1448/CLK,0,0,0
i1449/CLK,0,0,0
i145/CLK,0,0,0
i1450/CLK,0,0,0
i1451/CLK,0,0,0
i146/CLK,0,0,0
i147/CLK,0,0,0
i148/CLK,0,0,0
i149/CLK,0,0,0
i150/CLK,0,0,0
i151/CLK,0,0,0
i152/CLK,0,0,0
i153/CLK,0,0,0
i154/CLK,0,0,0
i155/CLK,0,0,0
i1550/CLK,0,0,0
i156/CLK,0,0,0
i157/CLK,0,0,0
i158/CLK,0,0,0
i159/CLK,0,0,0
i160/CLK,0,0,0
i161/CLK,0,0,0
i162/CLK,0,0,0
i163/CLK,0,0,0
i164/CLK,0,0,0
i165/CLK,0,0,0
i166/CLK,0,0,0
i167/CLK,0,0,0
i168/CLK,0,0,0
i169/CLK,0,0,0
i170/CLK,0,0,0
i171/CLK,0,0,0
i172/CLK,0,0,0
i173/CLK,0,0,0
i174/CLK,0,0,0
i175/CLK,0,0,0
i176/CLK,0,0,0
i177/CLK,0,0,0
i178/CLK,0,0,0
i179/CLK,0,0,0
i180/CLK,0,0,0
i181/CLK,0,0,0
i182/CLK,0,0,0
i183/CLK,0,0,0
i184/CLK,0,0,0
i185/CLK,0,0,0
i186/CLK,0,0,0
i187/CLK,0,0,0
i188/CLK,0,0,0
i189/CLK,0,0,0
i190/CLK,0,0,0
i191/CLK,0,0,0
i192/CLK,0,0,0
i193/CLK,0,0,0
i194/CLK,0,0,0
i195/CLK,0,0,0
i196/CLK,0,0,0
i197/CLK,0,0,0
i198/CLK,0,0,0
i199/CLK,0,0,0
i200/CLK,0,0,0
i201/CLK,0,0,0
i202/CLK,0,0,0
i203/CLK,0,0,0
i204/CLK,0,0,0
i205/CLK,0,0,0
i206/CLK,0,0,0
i207/CLK,0,0,0
i208/CLK,0,0,0
i209/CLK,0,0,0
i210/CLK,0,0,0
i211/CLK,0,0,0
i212/CLK,0,0,0
i213/CLK,0,0,0
i214/CLK,0,0,0
i215/CLK,0,0,0
i216/CLK,0,0,0
i217/CLK,0,0,0
i218/CLK,0,0,0
i219/CLK,0,0,0
i220/CLK,0,0,0
i221/CLK,0,0,0
i222/CLK,0,0,0
i223/CLK,0,0,0
i224/CLK,0,0,0
i225/CLK,0,0,0
i226/CLK,0,0,0
i227/CLK,0,0,0
i228/CLK,0,0,0
i229/CLK,0,0,0
i230/CLK,0,0,0
i231/CLK,0,0,0
i232/CLK,0,0,0
i233/CLK,0,0,0
i234/CLK,0,0,0
i235/CLK,0,0,0
i236/CLK,0,0,0
i237/CLK,0,0,0
i238/CLK,0,0,0
i239/CLK,0,0,0
i240/CLK,0,0,0
i241/CLK,0,0,0
i242/CLK,0,0,0
i243/CLK,0,0,0
i244/CLK,0,0,0
i245/CLK,0,0,0
i246/CLK,0,0,0
i247/CLK,0,0,0
i248/CLK,0,0,0
i249/CLK,0,0,0
i250/CLK,0,0,0
i251/CLK,0,0,0
i252/CLK,0,0,0
i253/CLK,0,0,0
i254/CLK,0,0,0
i255/CLK,0,0,0
i256/CLK,0,0,0
i257/CLK,0,0,0
i258/CLK,0,0,0
i259/CLK,0,0,0
i260/CLK,0,0,0
i261/CLK,0,0,0
i262/CLK,0,0,0
i263/CLK,0,0,0
i264/CLK,0,0,0
i265/CLK,0,0,0
i266/CLK,0,0,0
i267/CLK,0,0,0
i268/CLK,0,0,0
i269/CLK,0,0,0
i270/CLK,0,0,0
i271/CLK,0,0,0
i272/CLK,0,0,0
i273/CLK,0,0,0
i274/CLK,0,0,0
i275/CLK,0,0,0
i276/CLK,0,0,0
i277/CLK,0,0,0
i278/CLK,0,0,0
i279/CLK,0,0,0
i280/CLK,0,0,0
i281/CLK,0,0,0
i282/CLK,0,0,0
i283/CLK,0,0,0
i284/CLK,0,0,0
i285/CLK,0,0,0
i286/CLK,0,0,0
i287/CLK,0,0,0
i288/CLK,0,0,0
i289/CLK,0,0,0
i290/CLK,0,0,0
i291/CLK,0,0,0
i292/CLK,0,0,0
i293/CLK,0,0,0
i294/CLK,0,0,0
i295/CLK,0,0,0
i296/CLK,0,0,0
i297/CLK,0,0,0
i298/CLK,0,0,0
i299/CLK,0,0,0
i300/CLK,0,0,0
i301/CLK,0,0,0
i302/CLK,0,0,0
i303/CLK,0,0,0
i304/CLK,0,0,0
i305/CLK,0,0,0
i306/CLK,0,0,0
i307/CLK,0,0,0
i308/CLK,0,0,0
i309/CLK,0,0,0
i310/CLK,0,0,0
i311/CLK,0,0,0
i312/CLK,0,0,0
i313/CLK,0,0,0
i314/CLK,0,0,0
i315/CLK,0,0,0
i316/CLK,0,0,0
i317/CLK,0,0,0
i318/CLK,0,0,0
i319/CLK,0,0,0
i320/CLK,0,0,0
i321/CLK,0,0,0
i322/CLK,0,0,0
i43/i100/CLK,0,0,0
i43/i101/CLK,0,0,0
i43/i102/CLK,0,0,0
i43/i103/CLK,0,0,0
i43/i104/CLK,0,0,0
i43/i105/CLK,0,0,0
i43/i106/CLK,0,0,0
i43/i107/CLK,0,0,0
i43/i108/CLK,0,0,0
i43/i109/CLK,0,0,0
i43/i110/CLK,0,0,0
